, Cl 8 Production US , Cl 8 Production Canada , Cl 8 Production  Mexico , Cl 8 Production  Exports , CL 8 Production  N.A. , CL 5-7 Production US , CL 5-7 Production Canada , CL 5-7 Production Mexico , CL 5-7 Production Exports , CL 5-7 Production N.A. ,,,,,,,,,,,
Assumptions,,,,,,,,,,,,,,,,,,,,,
Data Source, http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   ,,,,,,,,,,,
Feb-99," 21,699 "," 2,829 ", 619 , 397 ," 25,544 "," 21,085 ", 725 , 798 , 182 ," 22,790 ",,,,,,,,,,,
Mar-99," 24,381 "," 3,634 ", 667 , 489 ," 29,171 "," 25,005 "," 1,108 ", 822 , 244 ," 27,179 ",,,,,,,,,,,
Apr-99," 24,096 "," 2,888 ", 785 , 375 ," 28,144 "," 21,896 ", 910 , 854 , 230 ," 23,890 ",,,,,,,,,,,
May-99," 22,921 "," 2,311 ", 598 , 474 ," 26,304 "," 22,482 ", 709 , 904 , 225 ," 24,320 ",,,,,,,,,,,
Jun-99," 25,645 "," 2,852 ", 795 , 452 ," 29,744 "," 23,367 ", 701 ," 1,153 ", 266 ," 25,487 ",,,,,,,,,,,
Jul-99," 22,098 "," 2,466 "," 1,198 ", 401 ," 26,163 "," 17,350 ", 353 ," 1,024 ", 74 ," 18,801 ",,,,,,,,,,,
Aug-99," 24,054 "," 3,251 "," 1,434 ", 408 ," 29,147 "," 20,987 ", 991 ," 1,600 ", 135 ," 23,713 ",,,,,,,,,,,
Sep-99," 24,444 "," 3,146 "," 1,170 ", 486 ," 29,246 "," 22,411 ", 871 ," 1,186 ", 161 ," 24,629 ",,,,,,,,,,,
Oct-99," 25,633 "," 3,509 "," 1,425 ", 467 ," 31,034 "," 21,159 ", 674 ," 1,558 ", 218 ," 23,609 ",,,,,,,,,,,
Nov-99," 24,284 "," 3,015 "," 1,180 ", 502 ," 28,981 "," 20,551 ", 724 ," 2,059 ", 311 ," 23,645 ",,,,,,,,,,,
Dec-99," 20,924 "," 2,104 "," 1,357 ", 481 ," 24,866 "," 17,857 ", 751 ," 1,783 ", 190 ," 20,581 ",,,,,,,,,,,
Jan-00," 21,815 "," 2,844 "," 1,061 ", 558 ," 26,278 "," 17,706 ", 651 ," 1,575 ", 244 ," 20,176 ",,,,,,,,,,,
Feb-00," 22,394 "," 3,318 "," 1,615 ", 422 ," 27,749 "," 19,277 ", 973 ," 1,782 ", 192 ," 22,224 ",,,,,,,,,,,
Mar-00," 24,612 "," 3,098 "," 1,489 ", 552 ," 29,751 "," 22,221 ", 958 ," 1,873 ", 144 ," 25,196 ",,,,,,,,,,,
Apr-00," 19,625 "," 2,130 "," 1,027 ", 374 ," 23,156 "," 20,025 ", 509 ," 1,136 ", 97 ," 21,767 ",,,,,,,,,,,
May-00," 21,938 "," 2,616 "," 1,137 ", 492 ," 26,183 "," 22,240 ", 712 ," 1,055 ", 90 ," 24,097 ",,,,,,,,,,,
Jun-00," 20,674 "," 2,117 "," 1,143 ", 511 ," 24,445 "," 20,957 ", 635 ," 1,117 ", 120 ," 22,829 ",,,,,,,,,,,
Jul-00," 13,340 "," 1,486 "," 1,581 ", 401 ," 16,808 "," 11,939 ", 457 ," 1,455 ", 86 ," 13,937 ",,,,,,,,,,,
Aug-00," 15,307 "," 1,887 "," 1,539 ", 367 ," 19,100 "," 15,288 ", 767 ," 1,278 ", 106 ," 17,439 ",,,,,,,,,,,
Sep-00," 12,832 "," 2,062 "," 1,070 ", 337 ," 16,301 "," 15,356 ", 568 ," 1,394 ", 106 ," 17,424 ",,,,,,,,,,,
Oct-00," 11,877 "," 1,483 "," 1,257 ", 322 ," 14,939 "," 15,027 ", 684 ," 1,878 ", 32 ," 17,621 ",,,,,,,,,,,
Nov-00," 12,107 "," 1,258 "," 1,435 ", 231 ," 15,031 "," 13,356 ", 689 ," 1,834 ", 60 ," 15,939 ",,,,,,,,,,,
Dec-00," 10,030 "," 1,128 ", 957 , 132 ," 12,247 "," 10,246 ", 436 ," 1,368 ", 88 ," 12,138 ",,,,,,,,,,,
Jan-01," 10,495 "," 1,230 "," 1,169 ", 245 ," 13,139 "," 13,134 ", 769 ," 1,657 ", 23 ," 15,583 ",,,,,,,,,,,
Feb-01," 9,867 "," 1,251 ", 871 , 209 ," 12,198 "," 13,588 ", 673 ," 1,866 ", 73 ," 16,200 ",,,,,,,,,,,
Mar-01," 10,987 "," 1,572 ", 764 , 265 ," 13,588 "," 18,043 ", 797 ," 1,943 ", 118 ," 20,901 ",,,,,,,,,,,
Apr-01," 9,973 "," 1,333 ", 652 , 216 ," 12,174 "," 13,734 ", 917 ," 1,863 ", 127 ," 16,641 ",,,,,,,,,,,
May-01," 11,275 "," 1,317 ", 713 , 314 ," 13,619 "," 15,665 ", 953 ," 2,048 ", 86 ," 18,752 ",,,,,,,,,,,
